"pubkey","epochs_delegation_criteria_met_last_10","no_epochs_at_least_100_stake","max_observed_commission_last_10","max_observed_mev_commission_last_10","avg_activated_stake_lamports_last_10"
"AqCAXRpWJBpaJxEDyv7ruP2wi6fef6DBTaAHSxdTf7hA",0,118,-Infinity,-Infinity,434574
"4PsiLMyoUQ7QRn1FFiFCvej4hsUTFzfvJnyN4bj1tmSN",10,118,-Infinity,-Infinity,434016
"2ayMCC4aizr8RGg5ptXYqu8uoxW1whNek1hE1zaAd58z",0,118,-Infinity,-Infinity,416600
"RNXpSdqrJL6eoLrbW69Q9qsFviEwRpfFfk3HiRRRohq",0,117,-Infinity,-Infinity,411618
"J1to3PQfXidUUhprQWgdKkQAMWPJAEqSJ7amkBDE9qhF",10,117,-Infinity,-Infinity,402031
"8FPz3JG4E3HVXxGbPZVibarva4AGXSZWx3qKLUS5uFtN",10,118,-Infinity,-Infinity,380551
"mrgn6ETrBDM8mjjYN8rbVwFqVwF8z6rtmvGLbdGuVUU",10,106,-Infinity,-Infinity,364277
"EdGevanAjM8a6Gg9KxBVrmVdZAUGAZ9xaVd7t9R4H2x",10,84,-Infinity,-Infinity,362551
"696fkFqwiLxsDG8Jr5MvU9kvGm9uuMuTPh3rn3ybRNQm",0,2,-Infinity,-Infinity,357382
"FahWJg2PkphJaMUUCzdYhXkD5NngUuuFRFD3YCE3BSwb",0,116,-Infinity,-Infinity,340725
"Eajfs6oXGGkvjYsxkQZZJcDCLLkUajaHizfgg2xTsqyd",0,63,-Infinity,-Infinity,340149
"A7uqmajxP3NdzbYDXiGQRGTL8d3dZ5pjS4kR9NTZcxtg",10,117,-Infinity,-Infinity,325610
"CzmqDuqEpfnkptuLAcikmJrhCnhFXo8aUBj6Rto1SPAc",10,117,-Infinity,-Infinity,318938
"BeachiopjxQxL7CaHNSZsynApiZCKx9QFVtcWNz3jDBo",0,115,-Infinity,-Infinity,318191
"49DJjUX3cwFvaZD5rCAwubiz7qdRWDez9xmB381XdHru",10,118,-Infinity,-Infinity,300658
"9sWYTuuR4s12Q4SuSfo5CfWaFggQwA6Z8pf8dWowN5rk",10,117,-Infinity,-Infinity,299059
"6tgtejPHUHR1pECzXqQT8EHZqnKCWZFSqdZXDyBaKe3b",0,116,-Infinity,-Infinity,298773
"BSRRvjdKd8SHApi3KtTGbzrdhUojitiwAt4xt4nAxbFh",10,116,-Infinity,-Infinity,298420
"BWkvytz3MAiLkUbMuYK5yV1VYThbBYYQYG3gdef8NLw5",10,116,-Infinity,-Infinity,297603
"5iJDEVRi1nMLwKAWhYbEokZnvBAe15rgFaHGkggVEP9z",10,116,-Infinity,-Infinity,296413
"9w3YAf77BSGLQXahTpwAe9U9mNdCXkqmxH17uCyN1wyH",10,117,-Infinity,-Infinity,292420
"5iZ5PQPy5Z9XDnkfoWPi6nvUgtxWnRFwZ36WaftPuaVM",0,118,-Infinity,-Infinity,292362
"CAf8jfgqhia5VNrEF4A7Y9VLD3numMq9DVSceq7cPhNY",10,117,-Infinity,-Infinity,291236
"9xEFsHZt2mbuGQjtVGABxpeQiNeDvj54pfsJrrrUUev6",10,115,-Infinity,-Infinity,291056
"HQbdXrLm3EuFyu66mCpDS4ir9zRkhNHJVnck4vxG7jEo",0,117,-Infinity,-Infinity,290313
"34yvUa2fxfm2tUqxFEj9PHrVNwCcdzd51eo9hntWpZRs",10,85,-Infinity,-Infinity,290213
"eondcw2upjH14EuvBzmn6HfGEGo8t9hG9JbXtPj6cym",5,115,-Infinity,-Infinity,289636
"7VGU4ZwR1e1AFekqbqv2gvjeg47e1PwMPm4BfLt6rxNk",0,118,-Infinity,-Infinity,289417
"R1vAoSPFQdCc6wsAEMtxWXjqptSeN1YUiq2Zni1of21",10,116,-Infinity,-Infinity,289022
"7PmWxxiTneGteGxEYvzj5pGDVMQ4nuN9DfUypEXmaA8o",0,118,-Infinity,-Infinity,288031
"2qsJLygBZ2XoYkRtkngH4fH4CtFmzfnjARbtMSWkZAQs",7,117,-Infinity,-Infinity,286863
"AuBB9st3RqhHBkzZgBSm6SVnHZNJQSHeBWCSkik4bzdA",10,116,-Infinity,-Infinity,285773
"HcbE5huUVDgsf7SURsRfQqnFMp3Zz3i49eXMddugPyAP",10,116,-Infinity,-Infinity,282866
"NipDoZC37aMQvv2fFq2moUyyiApQxszc7X4mvWHP2pZ",10,117,-Infinity,-Infinity,279536
"8EfUy8zz6DF2iTMQCUe4QAnoq4jVUzfU1yvZMCr2yJ7m",10,118,-Infinity,-Infinity,276920
"GNajgJGjkdnmZTRGZzsQ4P4eL54gHRMfDDLyZpnZYmUy",0,118,-Infinity,-Infinity,268775
"6JfBwvcz5QUKQJ37BMKTLrf968DDJBtwoZLw19aHwFtQ",0,115,-Infinity,-Infinity,268565
"NoRDTy8jpkpjPR7yxahVdoEUPngbojPhFU5jb8TtY4m",10,118,-Infinity,-Infinity,267926
"GREENr9zSeapgunqdMeTg8MCh2cDDn2y3py1mBGUzJYe",0,118,-Infinity,-Infinity,267864
"C9YVc5dBPRbmyi8tPJKnrBuVwXeULby1eGXWvUVv866a",0,116,-Infinity,-Infinity,267087
"37BPVW1Ne1XHrzK15xguAS2BTdobVfThDzTE2mv8SsnJ",0,116,-Infinity,-Infinity,266906
"FVhMWs3bbayWpUqDAbWUPH813gzFzJEo8fzhLhhkGstp",10,118,-Infinity,-Infinity,265916
"2het6nBRLq9LLZER8fqUEk7j5pbLxq2mVGqSse2nS3tf",4,117,-Infinity,-Infinity,265097
"GA2t11gJcmuZ4y7pShTzgYDkxVaJaVQJqkVUqojhPPsT",10,117,-Infinity,-Infinity,262451
"We11J5D4iXcNbdMwCZX2o9RRkwaWBo1AGLADfubmeTb",9,117,-Infinity,-Infinity,261389
"Luck3DN3HhkV6oc7rPQ1hYGgU3b5AhdKW9o1ob6AyU9",7,116,-Infinity,-Infinity,259943
"B1w6SZcyvjyp6zEyStcc8u9AxXAh2AbYvNzMmP9rRKE9",10,115,-Infinity,-Infinity,252129
"39xF5qkfK5HBaG4Hkq6bjumUB2k4B5ozEAmfZoobhUVw",9,116,-Infinity,-Infinity,251730
"3Xn3K5zeTzs4sURj1PCRaF6rvFg2hPgT49B4SiM998f7",10,116,-Infinity,-Infinity,251724
"BXNW9ysAB9ksEDidcNWraaFkMeA88q6xzFRSyNnGvQYC",10,117,-Infinity,-Infinity,250498
"3r5ZXC1yFqMmk8VwDdUJbEdPmZ8KZvEkzd5ThEYRetTk",10,117,-Infinity,-Infinity,250307
"8F4e1nbeC6hn9jkojtboERZGaafxUUtsqUy3MKJLohkh",10,116,-Infinity,-Infinity,248732
"6n8taYki7RscA1XW7xGmevLcqj855oSgDgjPe1dZyHfW",0,117,-Infinity,-Infinity,248138
"6SmEcnuXJ3ZYqJWTqCoPQMhfvey6PfWb1LebLzoH3f7m",0,118,-Infinity,-Infinity,247190
"3xjfK9C9YNcta8MvK1US4sQ3bc6DEjoJoR3qLExGf9xE",0,45,-Infinity,-Infinity,247183
"5K8qgC9nHzKHSSyo9fKLsMfYmavYdMgEaYx86cMmVKVv",0,118,-Infinity,-Infinity,245363
"DySC6eaUthvVVzu4s8GFupm4PzYLNvq372AYnNrKP4xP",10,117,-Infinity,-Infinity,244362
"9jYFwBfbjYmvasFbJyES9apLJDTkwtbgSDRWanHEvcRw",7,60,-Infinity,-Infinity,242924
"GuxBSrv5jnSwwPepkqnmkM7YCBSakKanbnw4BKMdda4j",10,117,-Infinity,-Infinity,242518
"7DCb5VuNx9XFqsaEgERyb5mwwRunDNtLRudCEoqhcz6N",10,118,-Infinity,-Infinity,241096
"8D8XL6ovqx15RKwC1XtFyTz6H8JYF2fUsxTnsY4b123P",10,118,-Infinity,-Infinity,239824
"NikGQUQqSLtsdHGGx7mQopojZcgd3N9uWFaZQ1r5EXn",10,118,-Infinity,-Infinity,239002
"DPmsofVJ1UMRZADgwYAHotJnazMwohHzRHSoomL6Qcao",10,117,-Infinity,-Infinity,237898
"FiijvR2ibXEHaFqB127CxrL3vSj19K2Kx1jf2RbK4BWS",0,113,-Infinity,-Infinity,237543
"Rash24BXgUyy65JJ5KBzpYLrj3pyCqEMEixLVimTcDp",10,117,-Infinity,-Infinity,236957
"LodezVTbz3v5GK6oULfWNFfcs7D4rtMZQkmRjnh65gq",10,116,-Infinity,-Infinity,236479
"SLNDoinxE7cCgE5ga6FJZ19F4FiUaEmtzSatbY6cjWy",0,18,-Infinity,-Infinity,234442
"A2MtELFxn9wAiUrobrZ6vsypQtGHdH3ZesEnvAogvuFZ",10,117,-Infinity,-Infinity,234386
"BeSov1og3sEYyH9JY3ap7QcQDvVX8f4sugfNPf9YLkcV",0,103,-Infinity,-Infinity,233910
"76nwV8zz8tLz97SBRXH6uwHvgHXtqJDLQfF66jZhQ857",10,116,-Infinity,-Infinity,233687
"2g2QU1NDRax6i2mKzRwgRfdBFoDkMC6bj7Zp5Q3i8sCq",10,117,-Infinity,-Infinity,233329
"i6PZjkPHGYmPfPE8LsJuLn5huZyusXhmysiDiHGPjxb",0,117,-Infinity,-Infinity,232047
"Bwkz1ddKoGE8hgiSV6HZLXi9RBLqfBi3HZb2QujzVGgz",0,117,-Infinity,-Infinity,230007
"48oxpSHQkM4sdXUY9NQ8KnEtebzZbyk8uUT7JRdVQNuf",10,115,-Infinity,-Infinity,229892
"EXrWdDxFaE3Sfsbh3TV5ToGhMqu53xrmeoVdvn467jUH",10,117,-Infinity,-Infinity,227588
"1234LB7uvDC23rdCQoK8C3jNwnovUNyeKxz8wC3dghJ5",0,117,-Infinity,-Infinity,227395
"yrfQfUfsZechz1zqQyTRRz43czTZQidcrm4SNVWiDPi",10,116,-Infinity,-Infinity,226108
"J8xfTV9UVS1cdaZj4toDd5Q1kgJ41buq19YDB3xH77AU",0,117,-Infinity,-Infinity,225691
"Ac8zL56RqrEwZcJa2HL7ZVCBW8py1ehVYj5qmfJXcdFQ",10,118,-Infinity,-Infinity,224354
"CrLn7zEBytbmRBUGhkDyyUbGCa6H7bMCnw94Dip8QbcJ",10,117,-Infinity,-Infinity,224125
"MNDE6ueF5uMvyk3ohq7wWZ8H749pbpj1yHj2MvMRCJM",10,116,-Infinity,-Infinity,223930
"G8GqFzoEZrxHqV279nYxD5PX1vWWHvxWHkBDkXU2qMy6",10,115,-Infinity,-Infinity,222204
"BJ6RVC6Moc9mB8u3qcubnhS9ejninfPfXvz6kFGgRH8v",10,116,-Infinity,-Infinity,222163
"b3d74rXdGgdw9XeqRWgAnm7bsZgg9mf5J5hjZMqKxRD",10,117,-Infinity,-Infinity,221492
