"pubkey","epochs_delegation_criteria_met_last_10","no_epochs_at_least_100_stake","max_observed_commission_last_10","max_observed_mev_commission_last_10","avg_activated_stake_last_10"
"GE6atKoWiQ2pt3zL7N13pjNHjdLVys8LinG8qeJLcAiL",10,216,5,500,1457380
"2LrSZWeyvFovnzVFpFPQE7Lxt64xs3s3Re9HLxMJtGwf",0,216,10,760,1357351
"FuvD3qqrVjuh355sBs1u8bUS3aU8NgknymLskPvtAc6N",0,114,100,800,1332732
"7jPqpHuN5v59dtBom2tjmYEfi6WaM4sFtJeTD6fzhcdS",0,216,100,10000,1330925
"mrgn4t2JabSgvGnrCaHXMvz8ocr4F52scsxJnkQMQsQ",10,87,0,0,1309533
"6F5xdRXh2W3B2vhte12VG79JVUkUSLYrHydGX1SAadfZ",0,214,0,10000,1225453
"7KVnUL45FH4N8Z7x1dnvJ7GzMx12cs81mS26mHzNjQPN",10,71,0,0,1209538
"AzbQjKoLepbDS8C6hgkRY7UCRwbwZZ9HqdtnWyef9WjX",0,217,100,10000,1207979
"GRt2mJZKpK9WXph5HGg4pdgewCYLKitRRSiTkrtHLXV8",0,18,100,5000,1192153
"SLaYv7tCwetrFGbPCRnqpHswG5qqKino78EYpbGF7xY",10,18,0,0,1165733
"AS3nKBQfKs8fJ8ncyHrdvo4FDT6S8HMRhD75JjCcyr1t",0,216,0,1000,1140188
"mrgn6ETrBDM8mjjYN8rbVwFqVwF8z6rtmvGLbdGuVUU",10,205,0,0,1096464
"Bkskrv38Kn7zJR5mvmbCDGn2M4Jyhzt2ZqwQXV6rYnXa",0,215,100,10000,1057763
"Chorus6Kis8tFHA7AowrPMcRJk3LbApHTYpgSNXzY5KE",0,214,8,5000,1048155
"DsiG71AvUHUEo9rMMHqM9NAWQ6ptguRAHyot6wGzLJjx",10,217,0,800,1041356
"DMSuZcavta8L1w1tSiH8bALWjz6Q6KSryGG6m6Az4Qt5",10,217,0,0,1031017
"FsT844wGgZg7MLR9Uc9T9qHQxmSoFVanhfgAEQvS966r",10,82,5,800,1002806
"EARNynHRWg6GfyJCmrrizcZxARB3HVzcaasvNa8kBS72",0,216,5,1000,988904
"FQwewNXahV7MiZcLpY6p1xhUs2acVGQ3U5Xxc7FzV571",0,213,8,800,951150
"A3ahHFBFkPkuLMhxLGEnKVVZu2J6Qy8Z7z2zozyXGhw2",0,217,100,200,927880
"8hPk5CbKDoM7dN9LssTdVkFhDykeq7A8CZurA5AQSFJH",10,50,5,500,879143
"8uEgdseqbUrDLfmHbUpTHoH1LLRxeViYDk7K6NdXKRYM",0,216,100,10000,857488
"3tUZu4CkwMLwYdosoGc85n48VgDMyxZVkL1VUJc7DrxW",0,217,100,10000,854459
"7S9dHgoeMYvtShTjEC3x5D3THRDQz123WVGPseZsm3hm",0,216,100,10000,846177
"8zHJtME22tiY3UsSHtDJXo2J8hUfwikBxXNbVqQzA92r",0,216,100,10000,839971
"J21SMPFJEY9ExCDPiSJQXN23PVSeoQe3LnKD7QcP3bgP",10,215,3,300,830952
"5sMmkL4BXjU6vZXQxE3RquH2CR8v8Zbfi1EAAFxLfxMx",0,217,100,10000,825470
"5orRi4tMEGneZ9U2y381JnBEnsqFJDBSNQLhBn98Bkcv",0,216,100,10000,824664
"Pond1QyT1sQtiru3fi9G5LGaLRGeUpJKR1a2gdbq2u4",10,217,0,0,809738
"HM5H6FAYWEMcm9PCXFbbiUFfFVLTN9UGy9AqmMQjdMRA",10,56,0,0,792283
"7opSZGmevWhRDyLt5Wu38FZFjUyredGmMki4DNmxDnjd",0,215,5,10000,776880
"juicQdAnksqZ5Yb8NQwCLjLWhykvXGktxnQCDvMe6Nx",10,213,4,800,765342
"RBFvvcGPBpgkBYmJGsphoDQJD8sszSuorM7TorWm12Y",10,217,6,800,763667
"2tucttroqFNXsrYeMBQ8LfzKNfgwT2rHBzAF6RzbbHEp",9,216,5,800,755928
"AiDoLYTz5CVN3ZLzqDWRtaGUaHGzDnWMeC6KCNYJPqFX",9,22,0,0,754333
"Va1idkzkB6LEmVFmxWbWU8Ao9qehC62Tjmf68L3uYKj",10,214,5,800,751556
"GREEDkpTvpKzcGvBu9qd36yk6BfjTWPShB67gLWuixMv",10,110,0,0,735580
"voteRnv6PBzmiGP8NicWtQiqEJTwKKq2SxtqtdLUJjd",0,214,0,10000,717783
"CogentC52e7kktFfWHwsqSmr8LiS1yAtfqhHcftCPcBJ",0,216,0,5000,678775
"edu1fZt5i82cFm6ujUoyXLMdujWxZyWYC8fkydWHRNT",9,217,5,800,669346
"ALiQdX94fYbGUt8ar6chuAN1nj8g8bKSgJ7qV3W7bPsS",0,216,100,200,650551
"EcLPNfLFgCkbcTuvdeQ85pnQMgAfBDqi2dkoNVPrSyr5",0,103,100,10000,631789
"DriFTm3wM9ugxhCA1K3wVQMSdC4Dv4LNmyZMmZiuHRpp",10,195,0,0,618191
"oRAnGeU5h8h2UkvbfnE5cjXnnAa4rBoaxmS4kbFymSe",10,190,0,600,613604
"8tjRQLzor4dP4qd1e7pVDdQmsdwdVv4kSeCVEHwWEiQW",10,215,3,800,602142
"B6nDYYLc2iwYqY3zdmavMmU9GjUL2hf79MkufviM2bXv",9,217,5,500,585780
"EwsDhgfbT6H4FRC7AHdhXNBxfBSbWCbDfknrw6g5Dph6",0,116,20,2000,534166
"SmithX2hngQMZXVN36C6TsyjthTU3YnsALAs1MaDghV",10,216,0,0,503279
"H43AYFsvhNuALQieHpLXefp1ECgEBT6oVnS4EcTsC25C",0,22,1,10000,503204
"DLKjd8DJc9NajCaHPeQL6BnhPi3a4BZm7zCdVF3MzDRZ",0,20,1,10000,503197
"8r4Fu6M8brgnL456RJfwxk8kN4iw1LgczfuXeuG1g4px",0,48,1,10000,502548
"7VGU4ZwR1e1AFekqbqv2gvjeg47e1PwMPm4BfLt6rxNk",0,217,5,1000,468212
"46mwXQRqWwj8Jp4ZR2tL1Yr3Snm99xDfKUs5jz7hLmEK",10,96,1,100,461879
"8HR5rCobbFMDe5EbgKdJLNDWVCeGG79w837BUxtsCngs",9,215,6,500,461354
"BxFf75Vtzro2Hy3coFHKxFMZo5au8W7J8BmLC3gCMotU",10,217,0,0,454172
"StepeLdhJ2znRjHcZdjwMWsC4nTRURNKQY8Nca82LJp",0,216,7,10000,437463
"GNZ1PAAS33davY4Q1BMEpZEpVBtRtGvSpcTH5wYVkkVt",10,216,0,200,431217
"RNXpSdqrJL6eoLrbW69Q9qsFviEwRpfFfk3HiRRRohq",10,216,5,800,427040
"CAf8jfgqhia5VNrEF4A7Y9VLD3numMq9DVSceq7cPhNY",10,216,5,800,418546
"mrgn2vsZ5EJ8YEfAMNPXmRux7th9cNfBasQ1JJvVwPn",10,207,0,0,416317
"GB44NXtM7zGm6QnzQjzHZcRKSswkJbox8aJsKiXGbFJr",10,216,1,800,414903
