"pubkey","epochs_delegation_criteria_met_last_10","no_epochs_at_least_100_stake","avg_activated_stake_lamports_last_10"
7PBSWtM2jfg4W16SrGrZ9YJSoxXrLK97JYSpobCkGeeV,0,116,825470
GrAfcC1wXN7Fa9X1aE2rDPhfGX64DTLNZHcwE88nTZjz,0,115,801923
2ktXqCFYdGsjk1a7k9M9P9pFrQRkQTKnZ4NL2zkBq8Nc,0,115,791829
31CxMmGK3xDDzzAd7Rp2MLjxsCpQEhZnfYmBtEt7inoJ,0,115,753031
8FKB2y5WUG6rVyjxxeL7wg3wXfCXxuRnM5BHpXp2hPjd,0,113,750647
9kWpx9PtCfmsgP4euxCpmaGSRBmDN1r5focZiZ8Eawvz,10,112,748591
AZby2e9SHw9viRHHzcuS4foxmJtPQHCm7sXTjDLAsWsA,0,114,740183
6QGXX1YPeTwrjPVrDVy2ZjnWjXk2ceVQDfAWrDK47qYb,10,115,725350
GCM9Wme4MbXDLm1QwFMV9kN3dHmzhpGnMRc6TD7pDwD3,10,116,723537
8vYgvBu4ynToG2ZwBf5W7gUDYybXxSVaEfDCXYK88L5F,10,116,721983
DVu4fKw2muZDsPXxSrCSsK2SAZzzyPkGfGmnBFy5vPmd,10,116,712635
B6jUtn1VndxBnkGLcoFmrdSVpZcwQWaRwKtfoBchLFWE,10,65,673363
5SEvDSqpp1eAT67apSHPyox2LC38DBqvNSb7PYW8VJ1x,8,115,667504
8ouxCN8Xe5ancaD39DGsx9REtxk7Y1oimeLaBaUKz84P,10,34,667126
5EV9EQDnStmQYCt4Pcex8H4qGMFVkz4fLvNntpjyY9H6,10,116,655574
54BsUJbux3Nv4jGWC33qAHwoUG99R5Qr8f4dDd21ckY5,0,70,643011
ARs7ZEUmpGQf3wzHjTyFkgBfnbzhmK6XHtSE9VzrNQX4,0,114,637188
J82MP1snV31CZWAN1tMbC7U8C9ovdg1zwBizRhSVrkLZ,0,91,633133
7JRNfhZHNnR6iNTukvfRqsdK8hDfwN7335w9fTQSoPTD,10,115,609287
3BcL1pSWPtC1AQ8szfWFV2KAkekNF9MRXpkTu3MrXzDz,0,115,574955
GjC4RogA2hN6zKpAZQornKLnnwUZcFDZJizSU5gCr8ze,10,116,573400
5oWbZE7nTaYvFghhiLY2ihWYWEJrLYn8j1Fk5NEAGWWi,0,115,553053
2FyrzPUJAwE8rUifrnn1YbXXkipSJtpPda9yHUP55imN,10,114,552949
cMLnKwp2UaCE4SQrU2th2Ms6RHiHDeVQiTgYfjtcoMs,10,116,543488
5AwQ47K3tWg7gHjjvNgo1aHFiTTefSyufuKQL1MjuJDC,10,115,532971
E6UMTZJiFk1oXiKBNBbh49Fre6dFfd4zojbsSHYyMzFp,0,15,490728
HK1HXB6dBi2PhRDHmswvGfXhKtgwt7UBoMHhPAsYgSnR,10,115,477274
5yFmgdC7LGtpH2ATo7w1REqX31dp9vKKA7cRow64u5Gr,10,106,468412
CtiJQ9P9CjzsKfNAu9KzkaD13P6YBqDo4zpnQLjgcr5U,10,116,468259
GezbbgEC6v7Wn9CzDTyNX34Akt5gsZSJxCeLMQU6q4UW,10,48,463490
4tp2X5XV7Bs2viSgFc1uKTkTyHM79CepgCEHrRAvUJH7,0,116,462513
A4qBnsj1JYwmbm3za6hQbkeQQmyGYZHnGAPuu7U16ejT,10,116,450267
3kXnRtS2qDU5HTnwLqUNSHhiSYevyx4uFST1ay3YYb5z,9,114,443454
6gbZRncsia8zFM9Lwyg7gMsVmm6zBBYkgVaUwDLk31m6,10,89,442338
CxwMVpEn84HYj9DF9CB3C2Wsa61dj67eq45BLBm7SPhL,0,116,434574
6yG9Arh2WvXVzkje1cxbs4a64BZBq5HUBbbke9k3iiBt,10,115,416847
6mjWPU6zWq124pCVxtYg2kagQvRjJ92Z37RnSgRJWPtW,10,116,411591
4HVWzKFixdCSFdAZbdAh9tNqMQbDvSwgNuAZLqr1gqKj,9,116,383031
DRXK439wmbpDiTRsfsyYYj9TkPRzFuoN9YP1X3QiNeWf,10,104,374710
DDZVDrxhebXQwEosi5Ah7LcjgUwfcK7ji2HfR7EnENmE,10,82,363468
BZJNYRkLvspaRYRu6DN7ugRSVs7o7twwgJ7oRrLQqC8e,10,115,357545
7Fy6HTXcpkd8V1PkiTptDpvpxyNebAUjnhkdQMADVXvA,10,115,357062
F9BrRY25y6671cppch3gY9nhE8izvMSUCZx2sB7BtU6T,10,114,342903
7uyZamYwiiTSv79fzjr5qsgJf8nQqMhrb9FHLKacVWpV,10,61,340110
7Wios4AqRZs86VzUAGtcRWXnXQ2Y1Zog4yiup3x4vCgK,10,115,328727
HLerpDby24euJBhWXoNiTDtWmj2GdV9jARXLjpmA1RSg,0,113,317949
3VtNCTvTqL1xgQ9UcyWorFFYbdeJmqMCSMZnfpEQX2rM,10,116,308294
2NcG5318fCKHDoy17iL2JJwsKqw6TeRXMyZheuefYtxh,10,116,306687
